"name","crop","symptoms","disease_type","favorable_temp_min","favorable_temp_max","favorable_humidity","treatment","severity"
"Tomato Early Blight","Tomato","dark concentric spots on leaves;yellowing around spots;leaf drop;stem lesions","Fungal",24,29,80,"Apply Mancozeb or Chlorothalonil fungicide every 7-10 days; remove infected leaves; ensure crop rotation.","Medium"
"Tomato Late Blight","Tomato","water-soaked spots on leaves;white fungal growth under leaves;rapid leaf collapse;brown lesions on stem","Fungal",15,20,90,"Apply Metalaxyl + Mancozeb combination fungicide immediately; destroy infected plants; avoid overhead irrigation.","High"
"Tomato Leaf Curl Virus","Tomato","upward curling of leaves;yellowing of leaf margins;stunted growth;reduced fruit size","Viral",28,35,60,"Control whitefly vector using Imidacloprid; remove infected plants; use virus-resistant varieties.","High"
"Tomato Bacterial Wilt","Tomato","sudden wilting of plant;yellowing of lower leaves;brown discoloration inside stem;plant collapse without yellowing","Bacterial",30,35,80,"Use resistant varieties; remove and destroy infected plants; avoid waterlogging; practice crop rotation.","High"
"Tomato Fruit Borer","Tomato","holes in fruit;larvae inside fruit;fruit rot;frass near entry holes","Pest",25,32,70,"Use pheromone traps; spray neem-based insecticide; remove and destroy infested fruits.","Medium"
"Potato Late Blight","Potato","water-soaked spots on leaves;white fungal growth under leaves;blackened stem;tuber rot","Fungal",15,20,90,"Apply Mancozeb or Metalaxyl fungicide; destroy infected foliage; avoid excess field moisture.","High"
"Potato Common Scab","Potato","rough corky patches on tubers;raised lesions on tuber skin;reduced tuber quality","Bacterial",20,25,50,"Maintain soil pH below 5.5; avoid excess lime application; use certified disease-free seed tubers.","Low"
"Wheat Leaf Rust","Wheat","orange-brown pustules on leaves;yellowing of leaf tissue;premature leaf drying","Fungal",15,22,75,"Spray Propiconazole fungicide; use rust-resistant wheat varieties; avoid late sowing.","Medium"
"Wheat Powdery Mildew","Wheat","white powdery coating on leaves;stunted growth;yellowing of lower leaves","Fungal",15,20,85,"Apply sulfur-based fungicide; ensure proper plant spacing for airflow; avoid excess nitrogen fertilizer.","Low"
"Wheat Loose Smut","Wheat","black powdery spore mass replacing grain head;empty seed head;early ear emergence","Fungal",18,22,70,"Treat seeds with Carboxin or Vitavax before sowing; use certified disease-free seed.","Medium"
"Rice Blast","Rice","diamond-shaped lesions on leaves;grayish center with brown margin on spots;neck rot;empty grain panicles","Fungal",25,28,90,"Apply Tricyclazole fungicide; avoid excess nitrogen; use resistant rice varieties.","High"
"Rice Bacterial Leaf Blight","Rice","water-soaked streaks on leaf edges;yellowing and drying of leaves;wilting of seedlings","Bacterial",25,34,85,"Use Streptocycline spray; avoid water stagnation; use certified disease-free seeds.","High"
"Rice Brown Planthopper","Rice","yellowing and drying of plants in patches;stunted growth;hopper burn appearance;honeydew on leaves","Pest",25,30,80,"Spray Imidacloprid or Buprofezin; avoid excess nitrogen; drain standing water periodically.","High"
"Rice Tungro Virus","Rice","yellow-orange discoloration of leaves;stunted plant growth;reduced tillering","Viral",25,32,75,"Control leafhopper vector with Imidacloprid; remove infected plants; use resistant varieties.","High"
"Maize Turcicum Leaf Blight","Maize","long elliptical gray-green lesions on leaves;lesions turning tan with age;leaf blighting","Fungal",20,27,85,"Apply Mancozeb or Propiconazole fungicide; practice crop rotation; use resistant hybrids.","Medium"
"Maize Stem Borer","Maize","holes in stem;dead heart in young plants;frass visible at leaf whorl","Pest",25,32,65,"Apply Chlorantraniliprole or Carbofuran granules in whorl; remove and destroy affected plants.","Medium"
"Cotton Bacterial Blight","Cotton","angular water-soaked spots on leaves;black lesions on veins;boll rot;leaf shedding","Bacterial",28,34,85,"Spray Copper Oxychloride; use disease-free treated seeds; avoid overhead irrigation during humid periods.","Medium"
"Cotton Leaf Curl Virus","Cotton","upward curling of leaves;thickened leaf veins;stunted plant growth;reduced boll formation","Viral",30,38,55,"Control whitefly population using Imidacloprid or neem-based spray; remove and destroy infected plants.","High"
"Cotton Bollworm","Cotton","holes in cotton bolls;larvae feeding inside bolls;boll shedding","Pest",25,32,60,"Use pheromone traps; spray Spinosad or Bt-based insecticide; hand-pick and destroy infested bolls.","Medium"
"Sugarcane Red Rot","Sugarcane","reddish discoloration inside stalk;drying of leaves;foul smell from stalk;white patches inside stem","Fungal",26,32,80,"Use disease-free setts for planting; treat setts with fungicide before planting; practice crop rotation.","High"
